Feature,Mean_ABS_SHAP,Model
port_window_attack_rate,0.07953179808382449,RF_SMOTE
flow_index,0.05696994961590548,RF_SMOTE
port_window_attack_count,0.05653656664756285,RF_SMOTE
port_attack_rate,0.038175584053388556,RF_SMOTE
PSH Flag Count,0.03523211617165388,RF_SMOTE
Init_Win_bytes_forward,0.02521656399268896,RF_SMOTE
Total Length of Fwd Packets,0.015843139892865375,RF_SMOTE
Packet Length Mean,0.014035120811454605,RF_SMOTE
Init_Win_bytes_backward,0.013611903048165343,RF_SMOTE
Subflow Fwd Bytes,0.012480744957289059,RF_SMOTE
port_window_attack_rate,0.09427153939326699,RF_UNDER
port_window_attack_count,0.06359159647443012,RF_UNDER
flow_index,0.05265235330420095,RF_UNDER
port_attack_rate,0.03515159631211699,RF_UNDER
PSH Flag Count,0.02745779365496035,RF_UNDER
Packet Length Mean,0.0254500742890818,RF_UNDER
Init_Win_bytes_forward,0.024792385231372,RF_UNDER
Total Length of Fwd Packets,0.01660699575381338,RF_UNDER
Min Packet Length,0.015637915818337803,RF_UNDER
Fwd Packet Length Min,0.012891708850355212,RF_UNDER
flow_index,3.219828486104488,LR_SMOTE
ACK Flag Count,2.181724788797891,LR_SMOTE
Packet Length Mean,2.1653948324602186,LR_SMOTE
Fwd Packet Length Min,1.9211567605719018,LR_SMOTE
Average Packet Size,1.8998213982638408,LR_SMOTE
Bwd Packet Length Mean,1.8451929256019528,LR_SMOTE
Avg Bwd Segment Size,1.8451929256019528,LR_SMOTE
Bwd Packet Length Min,1.587899039130717,LR_SMOTE
port_window_attack_rate,1.4406574340790075,LR_SMOTE
Bwd Packet Length Max,1.3401798576400037,LR_SMOTE
flow_index,2.6307478424742095,LR_UNDER
port_window_attack_rate,1.04961056739006,LR_UNDER
port_window_flow_count,0.8017247498731291,LR_UNDER
port_flow_count,0.78619460854207,LR_UNDER
PSH Flag Count,0.7757238419010712,LR_UNDER
Packet Length Mean,0.722005418767249,LR_UNDER
Average Packet Size,0.6420900049617618,LR_UNDER
Avg Bwd Segment Size,0.46114770835381386,LR_UNDER
Bwd Packet Length Mean,0.46114770835381386,LR_UNDER
URG Flag Count,0.448353763254286,LR_UNDER
port_window_attack_rate,0.011072820076841102,CNN_SMOTE
flow_index,0.005540044556452509,CNN_SMOTE
port_flow_count,0.004770144691300023,CNN_SMOTE
PSH Flag Count,0.0023572684798941553,CNN_SMOTE
port_window_attack_count,0.0014550646825227886,CNN_SMOTE
Min Packet Length,0.0009939743005010844,CNN_SMOTE
window_id,0.00098270986681482,CNN_SMOTE
Bwd Packet Length Min,0.000808381408668879,CNN_SMOTE
Avg Bwd Segment Size,0.0007056935005427848,CNN_SMOTE
Subflow Fwd Packets,0.0006637042398461783,CNN_SMOTE
port_window_attack_rate,0.009069419720659274,CNN_UNDER
flow_index,0.008557763654971495,CNN_UNDER
PSH Flag Count,0.005015094595425277,CNN_UNDER
port_flow_count,0.0037219800798387343,CNN_UNDER
port_window_flow_count,0.0024056741332363647,CNN_UNDER
port_window_attack_count,0.0013558119419030846,CNN_UNDER
Down/Up Ratio,0.0011204575264249191,CNN_UNDER
Min Packet Length,0.0009762163087543741,CNN_UNDER
Average Packet Size,0.0009426916355247764,CNN_UNDER
Bwd IAT Mean,0.0008535106059749164,CNN_UNDER
Avg Fwd Segment Size,0.002731996036172925,IF_SMOTE
Idle Max,0.0027072471873134368,IF_SMOTE
Fwd IAT Min,0.0026679349305496506,IF_SMOTE
Flow IAT Max,0.002551302524843481,IF_SMOTE
Average Packet Size,0.0025207471550601135,IF_SMOTE
Idle Min,0.0024219269951493904,IF_SMOTE
Flow IAT Mean,0.0022452930905889406,IF_SMOTE
Total Length of Fwd Packets,0.002241205173883509,IF_SMOTE
PSH Flag Count,0.002187635045653946,IF_SMOTE
Fwd IAT Total,0.0020902627668241427,IF_SMOTE
PSH Flag Count,0.003010922852522484,IF_UNDER
Average Packet Size,0.0027725857837500095,IF_UNDER
Destination Port,0.00243400995973958,IF_UNDER
Flow IAT Max,0.002426549790034655,IF_UNDER
Flow IAT Mean,0.002360169541568907,IF_UNDER
Fwd IAT Mean,0.002246384674701012,IF_UNDER
Fwd Header Length,0.0022172880429751933,IF_UNDER
Total Length of Fwd Packets,0.0021509850110191936,IF_UNDER
Fwd Header Length.1,0.0020679241272806223,IF_UNDER
Idle Mean,0.0020674799058431584,IF_UNDER
